path,label,class
/shareddrive/working/data_code/data/hilfe/trimmed/band_stop/bs_Hilfe_100.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/tree_534.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/five_2005.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/emphesis/pe_Hilfe_29.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/one_898.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/tree_1006.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/five_190.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/bit_crush/bc_Hilfe_12.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/four_940.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/emphesis/pe_Hilfe_314.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/right_135.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/down_664.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/left_1128.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/low_shelf_filter/lsf_Hilfe_504.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/band_pass/bp_Hilfe_15.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/down_1824.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/gain_transition/gt_Hilfe_425.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/gain_transition/gt_Hilfe_152.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/percentile/Hilfe_385.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/three_1509.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/band_pass/bp_Hilfe_134.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/room_simulator/rs_Hilfe_313.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/seven_band_parameter/sbp_Hilfe_6.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/tree_1194.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/_background_noise_/chunks/1s_chunks/dude_miaowing_random_segment_chunk5_chunk6.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/emphesis/pe_Hilfe_15.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/percentile/Hilfe_346.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/percentile/Hilfe_464.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/right_1615.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/zero_1788.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/emphesis/pe_Hilfe_192.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/bed_1401.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/right_609.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/tree_378.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/zero_722.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/bird_1633.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/bed_1298.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/stop_1209.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/emphesis/pe_Hilfe_113.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/nine_1588.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/on_1020.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/band_stop/bs_Hilfe_207.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/no_2047.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/nine_1023.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/percentile/Hilfe_395.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/emphesis/pe_Hilfe_158.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/polarity_inversion/pi_Hilfe_388.wav,1,hilfe
/shareddrive/working/data_code/data/hilfe/trimmed/room_simulator/rs_Hilfe_495.wav,1,hilfe
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/up_374.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/tree_557.wav,0,unknown
/shareddrive/working/data_code/data/neg_data/spcmd/all_words/original/tree_820.wav,0,unknown
/shareddrive/working/data_code/data/hilfe/trimmed/band_pass/bp_Hilfe_246.wav,1,hilfe
